num,formula,space_group_symbol,space_group_number,topology_at_Ef,sublattices,magnetic,superconductor,high_quality,n_icsd,icsd_ids,icsd_extra_sublattice_labels,is_top_candidate,best_figure
377,Na(NiF3),Pnma,62,Triv.,b,FM,,,18,8150 84608 84609 84610 174118 9008 25533 72319 192140 192142 192144 200062 50388 51285 41280 73759 73760 73761,"50388(b,s) 51285(b,s) 73759(b,s) 73760(b,s) 73761(b,s)",yes,Fig.29
394,BaVS3,Cmcm,63,SM,k∗,,,HQ,1,63228,,yes,Fig.29
403,NiSO4,Cmcm,63,Triv.,b,AFM,,,3,16691 16741 33737,,yes,Fig.29
404,Ni(SeO4),Cmcm,63,Triv.,b,FM,,,1,25700,,yes,Fig.30
440,Na(IO3),Cmmm,65,TI,NM,,,,1,33664,,yes,"Fig.30(k∗,b,s,l∗)"
485,K2(MnS2),Ibam,72,SM,"b,s",FM,,HQ,1,65453,,yes,Fig.30
486,Rb2(MnS2),Ibam,72,SM,"b,s",AFM,,HQ,1,65454,,yes,Fig.30
487,Cs2(MnS2),Ibam,72,SM,"b,s",FM,,HQ,1,65455,,yes,Fig.30
488,K2(MnSe2),Ibam,72,SM,"b,s",FM,,HQ,1,65456,,yes,Fig.30
489,Rb2(MnSe2),Ibam,72,SM,"b,s",FM,,HQ,1,65457,,yes,Fig.30
490,Cs2(MnSe2),Ibam,72,SM,"b,s",FM,,HQ,1,65458,,yes,Fig.31
491,Rb2(MnTe2),Ibam,72,SM,"b,s",FM,,HQ,1,65460,,yes,Fig.31
492,Cs2(MnTe2),Ibam,72,SM,"b,s",FM,,HQ,1,65461,,yes,Fig.31
541,Sr2Ni(WO6),I4/m,87,Triv.,"b,s",AFM,,HQ,3,91791 153327 190591,,yes,Fig.32
542,Ba2(FeWO6),I4/m,87,Triv.,"k∗,b,s",AFM,,HQ,0,,,yes,Fig.32
544,Sr2(FeMoO6),I4/m,87,Triv.,"b,s",FM,,HQ,9,166816 172212 193690 248460 247539 248461 248462 248463 248464,248460(k),yes,Fig.32
545,Sr2(FeReO6),I4/m,87,SM,"b,s",FM,,HQ,1,150702,,yes,Fig.31
546,Sr2Mg(WO6),I4/m,87,Triv.,"b,s",NM,,HQ,12,151703 152574 155306 155307 155308 155309 155310 168463 152440 152441 152442 152443,,yes,Fig.32
548,Sr2(CoMoO6),I4/m,87,SM,"b,s",FM,,HQ,3,153544 153545 153546,,yes,Fig.31
552,Sr2CoReO6,I4/m,87,TI,"b,s",AFM,,HQ,1,173488,,yes,Fig.31
554,Sr2MgMoO6,I4/m,87,Triv.,"b,s",NM,,HQ,1,187662,,yes,Fig.32
555,Sr2MnMoO6,I4/m,87,SM,"b,s",FM,,HQ,1,187669,,yes,Fig.31
556,Sr2CoWO6,I4/m,87,SM,"b,s",AFM,,,2,190593 245470,,yes,Fig.31
557,Sr2CoNbO6,I4/m,87,Triv.,"b,s",,,,1,192327,,yes,Fig.32
562,PbPd2O4,I41/a,88,Triv.,b,NM,,HQ,1,263049,,yes,Fig.32
591,La1Mn1O3,P4mm,99,Triv.,,,,,1,673198,,yes,"Fig.32(k∗,b,s,l∗)"
597,(VO)3(AsO3)2,P4bm,100,SM,b,FM,,HQ,1,424067,,yes,Fig.33
671,MnRh2Sb,P4/mmm,123,SM,,FM,,,1,76202,,yes,Fig.33
728,SiO2,P4/nbm,125,TI,"b,s",NM,,,1,170538,,yes,Fig.33
739,Cs3(GeF7),P4/mbm,127,Triv.,,NM,,HQ,1,202917,,yes,Fig.33
757,WO3,P4/nmm,129,Triv.,"b,s",NM,,,5,27961 27962 89092 88367 673313,27961(l) 27962(l) 88367(k) 673313(k),yes,Fig.33
904,Cu(As2O4),P42/mbc,135,SM,b,FM,,HQ,2,4287 16829,,yes,Fig.33
923,MnO2,P42/mnm,136,SM,b,AFM,,HQ,0,,,yes,Fig.33
931,Ni(Ta2O6),P42/mnm,136,Triv.,b,FM,,HQ,2,61198 247807,,yes,Fig.34
933,Cu(Ta2O6),P42/mnm,136,SM,b,FM,,,1,83367,,yes,Fig.34
951,Al3V,I4/mmm,139,SM,,NM,SC,,0,,,yes,Fig.34
966,Co2KS2,I4/mmm,139,SM,,FM,,,1,623956,,yes,Fig.34
970,Sr3(Co2O5Cl2),I4/mmm,139,TI,"b,s",FM,,HQ,2,90123 91749,,yes,Fig.34
977,Sr2FeMoO6,I4/mmm,139,Triv.,"b,s",,,,4,169377 94079 151617 184911,169377(k),yes,Fig.35
978,Ba2(FeReO6),I4/mmm,139,SM,"k∗,b,s",FM,,HQ,1,155174,,yes,Fig.34
979,Sr2VZrO6,I4/mmm,139,SM,"k∗,b,s",FM,,,1,191359,,yes,Fig.34
980,Sr2VHfO6,I4/mmm,139,SM,"k∗,b,s",FM,,,1,191360,,yes,Fig.34
984,Ba2Fe(MoO6),I4/mmm,139,Triv.,"k∗,b,s",FM,,HQ,4,246541 246542 246543 246544,,yes,Fig.35
989,Cs2AgF4,I4/mmm,139,SM,"b,s,l",FM,,,1,16254,,yes,Fig.35
996,Rb2CaH4,I4/mmm,139,Triv.,"b,s,l",NM,,,1,65196,,yes,Fig.35
997,K2MgH4,I4/mmm,139,Triv.,"b,s,l",NM,,,1,68358,,yes,Fig.35
1001,Cs2MgH4,I4/mmm,139,Triv.,"b,s,l",NM,,,1,162261,,yes,Fig.35
1012,Pd3Tl,I4/mmm,139,SM,,NM,,,1,105729,,yes,Fig.35
1013,InPd3,I4/mmm,139,SM,,NM,,,3,247194 247195 420250,,yes,Fig.35
1022,Rb3YF6,I4/mmm,139,Triv.,,NM,,,1,19077,,yes,Fig.36
1031,(SrO)3(TiO2)2,I4/mmm,139,Triv.,"b,s,l∗",NM,,,3,20294 34629 63704,,yes,Fig.36
1037,LaCo2B2,I4/mmm,139,SM,,NM,,HQ,23,10462 85890 85891 85892 619210 23653 55298 602345 613409 613423 41787 55297 181185 182572 182573 423045 613135 44667 181768 181769 188326 600299 641030,,yes,Fig.36
1039,CaRh2P2,I4/mmm,139,TI,,NM,SC,HQ,1,50185,,yes,Fig.36
1041,LaCo2Si2,I4/mmm,139,SM,,NM,,,2,52999 90777,,yes,Fig.36
1043,LaRh2Ge2,I4/mmm,139,SM,,NM,,,3,55926 81759 636847,,yes,Fig.36
1060,Al8Fe4Y,I4/mmm,139,SM,,FM,,,5,57842 240140 240141 607728 607735,,yes,Fig.37
1063,Al8Fe4Hf,I4/mmm,139,TI,,FM,,,1,607535,,yes,Fig.36
1064,Al8Fe4Zr,I4/mmm,139,TI,,FM,,,1,607756,,yes,Fig.36
1069,FeSn2,I4/mcm,140,SM,,FM,SC,,15,24570 102800 103636 247483 409909 604017 633753 633760 633761 24571 102799 171198 247482 643736 643742,,yes,Fig.37
1072,FeGe2,I4/mcm,140,SM,,FM,SC,,7,42519 77313 195131 631984 631999 632023 632024,,yes,Fig.37
1079,Ca5Ge3,I4/mcm,140,SM,,NM,,,3,42139 93704 181074,,yes,Fig.37
1080,Ca5Si3,I4/mcm,140,SM,,NM,,HQ,1,93699,,yes,Fig.37
1091,Sr(ZrO3),I4/mcm,140,Triv.,"b,s",NM,,HQ,19,1522 89356 89357 89358 89359 89360 89362 89363 89361 89364 188451 290620 674924 56718 182762 182247 182763 182764 248380,89362(l) 89363(l) 89364(l) 56718(l) 182762(l) 182763(l) 182764(l) 248380(l),yes,Fig.37
1104,Li3(BN2),I41/amd,141,Triv.,"b,s",NM,,HQ,2,155126 155127,,yes,Fig.37
1118,CsFe(MoO4)2,P3̄,147,SM,"b,s",FM,,,1,191592,,yes,Fig.38
1120,RbAg2Fe(VO4)2,P3̄,147,SM,"b,s",AFM,,HQ,2,194588 194589,,yes,Fig.38
1122,Zn(ReO4)2,P3̄,147,Triv.,"b,s",NM,,,1,51017,,yes,Fig.38
1126,Mn(TiO3),R3̄,148,TI,b,AFM,,HQ,3,60006 171579 184649,,yes,Fig.38
1131,Pb3Ga2Ge4O14,P321,150,Triv.,"b,s",NM,,HQ,1,250123,,yes,Fig.38
1162,K2Na(Ag(CN)2)3,P3̄1m,162,Triv.,"k,b",NM,,HQ,1,65699,,yes,Fig.38
1167,Cd(Sb2O6),P3̄1m,162,Triv.,b,NM,,HQ,1,71028,,yes,Fig.38
1173,K(Ag(CN)2),P3̄1c,163,Triv.,"k∗,b",NM,,,1,30275,,yes,Fig.38
1178,Ti3O,P3̄1c,163,SM,"b,s",,,,2,20041 24082,,yes,Fig.39
1182,POF3,P3̄m1,164,Triv.,,,,HQ,1,250498,,yes,Fig.39
1203,Na2(SO4),P3̄m1,164,SM,,FM,,,1,27955,,yes,Fig.39
1206,Ca2(GeO4),P3̄m1,164,Triv.,"k∗,b",NM,,,1,182051,,yes,Fig.39
1207,Ca2(SiO4),P3̄m1,164,Triv.,"k∗,b",NM,,,1,182052,,yes,Fig.39
1209,RbIn(WO4)2,P3̄m1,164,Triv.,"k∗,b",NM,,,1,24859,,yes,Fig.40
1212,KFe(MoO4)2,P3̄m1,164,SM,"k∗,b,s",AFM,,HQ,1,153864,,yes,Fig.39
1215,RbFe(MoO4)2,P3̄m1,164,SM,"k∗,b,s",FM,,,2,245665 250409,,yes,Fig.39
1216,CsFe(MoO4)2,P3̄m1,164,SM,"k∗,b,s",FM,,HQ,1,260887,,yes,Fig.39
1236,K2Pt3PtS6,R3̄m,166,Triv.,"k∗,b",NM,,,1,40062,,yes,Fig.40
1246,Ba2NiTeO6,R3̄m,166,TI,"k∗,b,s",AFM,,,1,25005,,yes,Fig.40
1248,Cs9Ni9F27,R3̄m,166,TI,"k,b,s",FM,,HQ,1,410393,,yes,Fig.40
1255,Cu3Zn(OH)6Cl2,R3̄m,166,SM,"k,b",FM,,HQ,1,425834,,yes,Fig.40
1265,Ca2NCl,R3̄m,166,Triv.,b,NM,,HQ,2,62555 153101,,yes,Fig.40
1266,Ca2NBr,R3̄m,166,Triv.,b,NM,,HQ,2,62556 153105,,yes,Fig.40
1280,Mg2Ni3Si,R3̄m,166,TI,k,NM,,,1,44926,,yes,Fig.40
1282,Mg2Ni3P,R3̄m,166,SM,k,NM,,HQ,1,72409,,yes,Fig.41
1289,K4ZnP2,R3̄m,166,Triv.,,NM,,HQ,1,67261,,yes,Fig.41
1290,K4HgP2,R3̄m,166,Triv.,b,NM,,HQ,1,67263,,yes,Fig.41
1291,K4(BeP2),R3̄m,166,Triv.,b,NM,,HQ,1,300110,,yes,Fig.41
1292,K4(BeAs2),R3̄m,166,Triv.,,NM,,HQ,1,300111,,yes,Fig.41
1293,K4(CdAs2),R3̄m,166,Triv.,b,NM,,HQ,1,300190,,yes,Fig.41
1294,K4(HgAs2),R3̄m,166,Triv.,,NM,,HQ,1,402573,,yes,Fig.41
1295,K4ZnAs2,R3̄m,166,Triv.,,NM,,HQ,1,409919,,yes,Fig.41
1296,Na2(Ti3Cl8),R3̄m,166,TI,"k,b",FM,,HQ,1,401026,,yes,Fig.42
1300,Nb3Br8,R3̄m,166,Triv.,,NM,,HQ,2,25766 421609,,yes,Fig.42
